#{"t_start": 1752083390.4125154, "env_id": "None"}
r,l,t
-0.835516,10,1.577126
-0.835516,10,1.577126
-0.835516,10,1.596487
-0.835516,10,1.603228
-0.835516,10,1.609615
-0.835516,10,1.611399
-0.835516,10,1.611399
-0.835516,10,1.626312
-0.835516,10,1.627948
-0.835516,10,1.627948
-0.835516,10,1.644425
-0.835516,10,1.650429
-0.835516,10,1.655418
-0.835516,10,1.661057
-0.835516,10,1.66723
-0.835516,10,1.672228
-0.835516,10,1.67748
-0.835516,10,1.67748
-0.835516,10,1.67748
-0.835516,10,1.693023
-0.835516,10,1.693023
-0.835516,10,1.693023
-0.835516,10,1.709211
-0.835516,10,1.709211
-0.835516,10,1.709211
-0.835516,10,1.724975
-0.835516,10,1.724975
-0.835516,10,1.740808
-0.835516,10,1.740808
-0.835516,10,1.740808
-0.835516,10,1.756656
-0.835516,10,1.756656
-0.835516,10,1.756656
-0.835516,10,1.772448
-0.835516,10,1.777599
-0.835516,10,1.777599
-0.835516,10,1.788239
-0.835516,10,1.788239
-0.835516,10,1.788239
-0.835516,10,1.804002
-0.835516,10,1.804002
-0.835516,10,1.804002
-0.835516,10,1.820141
-0.835516,10,1.820141
-0.835516,10,1.820141
-0.835516,10,1.836258
-0.835516,10,1.836258
-0.835516,10,1.852043
-0.835516,10,1.853493
-0.835516,10,1.853493
-0.835516,10,1.869502
-0.835516,10,1.876596
-0.835516,10,1.881289
-0.835516,10,1.885959
-0.835516,10,1.885959
-0.835516,10,1.885959
-0.835516,10,1.901258
-0.835516,10,1.901258
-0.835516,10,1.901258
-0.835516,10,1.917344
-0.835516,10,1.917344
-0.835516,10,1.917344
-0.835516,10,1.937964
-0.835516,10,1.943072
-0.835516,10,1.948707
-0.835516,10,1.954731
-0.835516,10,1.960756
-0.835516,10,1.966521
-0.835516,10,1.972546
-0.835516,10,1.977568
-0.835516,10,1.984596
-0.835516,10,1.988608
-0.835516,10,1.994631
-0.835516,10,2.000396
-0.835516,10,2.006416
-0.835516,10,2.01043
-0.835516,10,2.016191
-0.835516,10,2.022213
-0.835516,10,2.027976
-0.835516,10,2.033998
-0.835516,10,2.038012
-0.835516,10,2.043774
-0.835516,10,2.049798
-0.835516,10,2.05582
-0.835516,10,2.059578
-0.835516,10,2.065598
-0.835516,10,2.071619
-0.835516,10,2.075374
-0.835516,10,2.081895
-0.835516,10,2.087916
-0.835516,10,2.093434
-0.835516,10,2.099459
-0.835516,10,2.105483
-0.835516,10,2.111246
-0.835516,10,2.11526
-0.835516,10,2.121284
-0.835516,10,2.127049
-0.835516,10,2.133069
-0.835516,10,2.13883
-0.835516,10,2.142851
-0.835516,10,2.148873
-0.835516,10,2.154636
-0.835516,10,2.160659
-0.835516,10,2.164673
-0.835516,10,2.170435
-0.835516,10,2.176459
-0.835516,10,2.18198
-0.835516,10,2.188003
-0.835516,10,2.194023
-0.835516,10,2.198038
-0.835516,10,2.203803
-0.835516,10,2.209824
-0.835516,10,2.215846
-0.835516,10,2.221608
-0.835516,10,2.227628
-0.835516,10,2.231642
-0.835516,10,2.237407
-0.835516,10,2.243426
-0.835516,10,2.249191
-0.835516,10,2.255211
-0.835516,10,2.259227
-0.835516,10,2.264991
-0.835516,10,2.271013
-0.835516,10,2.277035
-0.835516,10,2.281057
-0.835516,10,2.287081
-0.835516,10,2.293102
-0.835516,10,2.298866
-0.835516,10,2.304886
-0.835516,10,2.308902
-0.835516,10,2.314667
-0.835516,10,2.320698
-0.835516,10,2.326717
-0.835516,10,2.332479
-0.835516,10,2.336494
-0.835516,10,2.342516
-0.835516,10,2.348691
-0.835516,10,2.360156
-0.835516,10,2.360156
-0.835516,10,2.360156
-0.835516,10,2.378357
-0.835516,10,2.378357
-0.835516,10,2.378357
-0.835516,10,2.397626
-0.835516,10,2.402626
-0.835516,10,2.408623
-0.835516,10,2.410069
-0.835516,10,2.410069
-0.835516,10,2.410069
-0.835516,10,2.425684
-0.835516,10,2.425684
