#{"t_start": 1752135760.0059714, "env_id": "None"}
r,l,t
1.600239,10,2.92691
1.871961,10,2.942999
1.659554,10,2.949752
1.788611,10,2.959354
1.378564,10,2.959949
2.553998,10,2.976649
1.730547,10,2.982444
1.655021,10,2.985436
1.351379,10,2.993232
1.732381,10,2.993232
1.673938,10,2.993232
1.595771,10,3.011074
1.808447,10,3.016973
2.49962,10,3.016973
1.563702,10,3.026611
0.95352,10,3.031746
1.85661,10,3.035749
1.58936,10,3.035749
2.0279,10,3.046967
1.546583,10,3.050086
1.369846,10,3.057116
1.468285,10,3.060038
1.375484,10,3.065365
1.615899,10,3.069378
1.444864,10,3.076688
0.922819,10,3.080812
1.787075,10,3.082813
1.346589,10,3.082813
1.001951,10,3.093176
1.248973,10,3.093176
1.614263,10,3.093176
1.481724,10,3.109793
2.001668,10,3.118079
1.636163,10,3.122136
1.654977,10,3.127008
2.143467,10,3.127008
1.186284,10,3.138377
1.290254,10,3.142665
1.237714,10,3.146803
1.830351,10,3.150816
2.013798,10,3.157047
1.684399,10,3.159925
2.04186,10,3.159925
2.124855,10,3.159925
2.113469,10,3.176679
1.397588,10,3.176679
1.456961,10,3.176679
2.209115,10,3.176679
1.576602,10,3.199259
1.271974,10,3.199259
1.414463,10,3.199259
1.456945,10,3.212562
1.158481,10,3.219865
1.890412,10,3.223876
1.22332,10,3.226951
1.479143,10,3.232128
2.211387,10,3.234037
1.787539,10,3.243388
1.931262,10,3.252542
2.222936,10,3.252542
0.703735,10,3.263548
1.494319,10,3.265648
2.278426,10,3.265648
1.31893,10,3.276779
2.477453,10,3.282609
1.715961,10,3.282609
1.875747,10,3.282609
1.321356,10,3.30024
1.941578,10,3.30024
1.411475,10,3.312566
1.1568,10,3.316754
1.724772,10,3.32169
1.5675,10,3.329427
2.733256,10,3.329427
1.230462,10,3.329427
1.929864,10,3.329427
1.900632,10,3.347982
1.887668,10,3.348985
1.848795,10,3.348985
1.446276,10,3.361191
2.282959,10,3.366308
1.312937,10,3.366308
1.898395,10,3.375978
1.360757,10,3.381158
1.424387,10,3.392689
1.605674,10,3.400653
1.938729,10,3.409518
1.706355,10,3.412222
2.28938,10,3.431763
2.021647,10,3.433772
1.937937,10,3.444309
1.475047,10,3.444309
1.268305,10,3.444309
2.681832,10,3.462482
1.874824,10,3.46648
1.841914,10,3.46648
1.861551,10,3.480359
2.188692,10,3.484359
0.867677,10,3.488627
1.144487,10,3.49311
1.633538,10,3.789818
1.467899,10,3.967003
0.843296,10,4.163678
1.452408,10,4.403095
1.904017,10,4.778033
1.746065,10,5.142164
1.667065,10,5.451761
1.786884,10,5.85102
2.443106,10,6.246231
2.137268,10,6.64132
2.300428,10,7.022433
1.869375,10,7.418505
1.489683,10,7.827246
1.7834,10,8.111073
2.638666,10,8.30033
0.988265,10,8.61667
1.623268,10,8.971646
1.421031,10,9.335507
1.010622,10,9.71711
2.049189,10,10.051772
1.950789,10,10.267555
1.416055,10,10.458893
1.797909,10,10.760046
1.325115,10,11.094323
1.991195,10,11.499749
0.79443,10,11.833825
2.207043,10,12.135821
2.021299,10,12.50212
1.578489,10,12.886347
1.72872,10,13.253879
2.429152,10,13.61894
1.482125,10,13.970531
2.041328,10,14.233698
1.45225,10,14.502946
1.777413,10,14.852118
1.68375,10,15.170087
2.574007,10,15.523427
1.94713,10,15.792934
2.062758,10,16.127371
1.781322,10,16.476345
1.18737,10,16.846101
1.704218,10,17.164792
1.740079,10,17.498121
1.632085,10,17.814795
1.807963,10,18.168509
1.695493,10,18.534234
1.903952,10,18.913856
1.953638,10,19.152496
1.774072,10,19.508746
1.493441,10,19.890945
2.247384,10,20.178341
1.801736,10,20.512156
2.404607,10,20.882997
2.47309,10,21.219316
1.641386,10,21.458544
1.993683,10,21.666452
1.584719,10,21.882677
1.912532,10,22.136015
0.716813,10,22.415249
1.111451,10,22.598412
2.37056,10,22.782498
2.365436,10,22.983402
1.522615,10,23.25328
1.608253,10,23.479574
1.544682,10,23.715816
1.782281,10,23.918777
1.736365,10,24.117185
2.068706,10,24.335557
0.994734,10,24.539667
1.517789,10,24.744416
1.59075,10,24.987176
1.331577,10,25.337027
2.346407,10,25.57829
2.003126,10,25.78333
2.089815,10,25.990823
1.650221,10,26.184902
1.608977,10,26.400262
3.284677,10,26.734354
1.110878,10,27.150754
1.20851,10,27.517514
1.468916,10,27.94085
1.178001,10,28.3937
1.736749,10,28.794364
2.139285,10,29.067542
1.642465,10,29.293386
1.989381,10,29.515938
1.756365,10,29.729123
2.598481,10,29.934042
1.886569,10,30.148387
2.037529,10,30.361986
2.619608,10,30.568234
1.532905,10,30.782687
1.475813,10,30.989877
1.441642,10,31.19605
1.879278,10,31.407476
1.481016,10,31.717083
1.703485,10,31.934069
1.71274,10,32.156293
1.020757,10,32.369148
1.559688,10,32.583467
1.676789,10,32.794733
1.243422,10,32.999545
1.249427,10,33.208622
1.242798,10,33.410129
1.939126,10,33.639111
1.614071,10,33.851083
2.034546,10,34.074483
1.640936,10,34.278421
1.77882,10,34.490933
2.281664,10,34.717058
2.600708,10,34.920352
1.435372,10,35.128371
1.551478,10,35.338072
1.763013,10,35.554488
2.604289,10,35.771512
2.085402,10,35.981313
1.904111,10,36.183492
1.707143,10,36.395628
2.862279,10,36.591971
1.84922,10,36.796263
1.253926,10,37.002335
1.441053,10,37.191833
0.976367,10,37.39692
1.61662,10,37.599296
2.636135,10,37.828998
1.964172,10,38.029213
1.310836,10,38.226215
2.573145,10,38.415495
1.461621,10,38.63137
1.573333,10,38.821126
0.742924,10,39.026625
2.26372,10,39.217502
2.096393,10,39.432985
2.151771,10,39.639727
2.874748,10,39.845075
1.725903,10,40.112982
1.800581,10,40.338703
2.001424,10,40.54405
2.36782,10,40.749962
2.300453,10,40.955409
1.43111,10,41.165554
1.531056,10,41.371724
1.890608,10,41.609502
1.226704,10,41.878682
1.62439,10,42.126576
1.598777,10,42.358458
1.715005,10,42.601927
2.014855,10,42.818733
1.554469,10,43.019021
1.915938,10,43.223617
1.682654,10,43.430327
2.058506,10,43.714542
1.237752,10,43.927216
2.295511,10,44.131933
1.885801,10,44.338053
1.197537,10,44.544989
1.45639,10,44.809827
2.031638,10,45.00088
2.883942,10,45.237613
1.498256,10,45.442724
2.543537,10,45.700907
1.50635,10,45.90616
1.736637,10,46.129327
1.521471,10,46.31872
1.56934,10,46.532858
1.680598,10,46.761652
1.353594,10,46.959307
1.86022,10,47.164972
2.518606,10,47.381956
2.141557,10,47.58922
1.534607,10,47.794731
2.465868,10,48.001235
1.338562,10,48.22903
2.303519,10,48.418702
1.98639,10,48.624079
1.64134,10,48.845156
1.141658,10,49.054936
1.107278,10,49.24582
2.161662,10,49.450265
1.334428,10,49.656142
2.213429,10,49.865674
1.945297,10,50.071985
1.726906,10,50.279192
1.619434,10,50.492957
1.743761,10,50.725989
